15:54:16 | INFO | src.app.rag_engine | Using LLM model: amazon.nova-lite-v1:0
15:54:16 | INFO | src.app.rag_engine | RAG Engine initialized.
15:54:16 | INFO | src.api.dependencies | Loading default index from data/indexes/default
15:54:16 | INFO | src.app.rag_engine | Loading vector index from data/indexes/default
15:54:16 | INFO | src.vectorstores.faiss_store | Loaded 94 vectors/chunks from data/indexes/default
15:54:16 | INFO | src.app.rag_engine | Loaded 94 vectors.
15:54:16 | INFO | src.app.rag_engine | Building retrieval pipeline...
15:54:16 | INFO | src.app.rag_engine | Loaded 94 chunks from vector store.
15:54:47 | INFO | src.reranking.cross_encoder_reranker | CrossEncoder device: cpu
15:54:47 | INFO | src.app.rag_engine | Building chat engine...
15:54:47 | INFO | src.app.rag_engine | Chat engine built.
15:54:47 | INFO | src.api.dependencies | Default index loaded successfully.
